BayesFactorCat,Prior,Threshold,Metric
Definitive,1.0,0.9696440069910772,Threshold
Overwhelming,1.0,0.9099181073703366,Threshold
Compelling,1.0,0.7615606936416185,Threshold
Extreme,1.0,0.5025125628140703,Threshold
Very_Strong,1.0,0.24196018376722817,Threshold
Strong,1.0,0.09174311926605505,Threshold
Moderate,1.0,0.030931871574001568,Threshold
Anecdotal,1.0,0.01,Threshold
No_Evidence,1.0,0.01,Threshold
Definitive,5.0,0.9940275987803728,Threshold
Overwhelming,5.0,0.9813542688910696,Threshold
Compelling,5.0,0.9433174224343674,Threshold
Extreme,5.0,0.8403361344537815,Threshold
Very_Strong,5.0,0.6245059288537549,Threshold
Strong,5.0,0.3448275862068966,Threshold
Moderate,5.0,0.14259927797833935,Threshold
Anecdotal,5.0,0.05,Threshold
No_Evidence,5.0,0.05,Threshold
